college_code	course_college_code	course_dept	course_no	course_title	credit_hours	description	source_course_key	source_files
CAFS	CAFS	AANS	202	Animal Nutrition and Growth	3	Basic concepts in nutrition of livestock, poultry and fish will be discussed in this course. Topics will include anatomy and physiology of the digestive tract, nutrients and their metabolism, digestion, absorption, animal growth and development, introduction to foodstuffs, feeds and feeding, ration formulation and nutrient requirements.	AANS202	cafs_curriculum_2024.org
CAFS	CAFS	AANS	204	Animal Anatomy and Physiology	3	This course provides fundamental concepts of anatomy and physiology of livestock, poultry and fish. This course is necessary for understanding the organization and functions of the animal body systems and their impact on animal productivity, health and well-being to maximize its productivity while also maintaining environmentally sound production practices.	AANS204	cafs_curriculum_2024.org
CAFS	CAFS	AANS	206	Animal Behavior and Welfare	3	The course deals with sustainable animal agriculture systems. Emphases are placed on promoting the health and well-being of the animal in maximizing their productivity while also maintaining environmentally sound production practices.	AANS206	cafs_curriculum_2024.org
CAFS	CAFS	AANS	302	Animal Genetics and Breeding	3	Basic principles of inheritance in animals of agricultural and aquaculture significance, transmission genetics and its effects on the usefulness of animals, and basic principles of animal improvement through the application of genetic selection will be discussed in this course.	AANS302	cafs_curriculum_2024.org
CAFS	CAFS	AANS	303	Swine and Poultry Production	3	The course is aimed at helping students to understand the management principles associated with swine and poultry production. Emphasis will be placed on interactions of physiology, health, equipment, nutrition, reproduction and genetics applied to the nursery (starting), growing, finishing, farrowing and breeding phases of swine production and to the broiler and egg layer segments of poultry production. Incorporation of waste management practices and alternatives, development of marketing strategies and economic evaluation of management practices as applied to swine and poultry operations in developed and developing countries.	AANS303	cafs_curriculum_2024.org
CAFS	CAFS	AANS	304	Ruminant Production	3	This course will discuss the management principles associated with meat (beef, sheep and goat) and dairy (cattle and goat) production. The content includes integration of technical information on nutrition, genetics, reproduction and health with production systems, operations management, record keeping systems, product marketing, business practices, and decision-making processes as applied to beef cattle, dairy cattle, sheep, meat goat and dairy goat operations in developed and developing countries.	AANS304	cafs_curriculum_2024.org
CAFS	CAFS	AANS	306	Aquaculture and Fisheries	3	The course introduces students to the management principles associated with aquaculture and fishery production. Biological and general principles of aquaculture and fisheries management, species involved, techniques employed, and problems encountered will be discussed.	AANS306	cafs_curriculum_2024.org
CAFS	CAFS	AANS	407	Animal Reproduction and Lactation	3	This course outlines the basic concepts in reproduction of livestock, poultry and fish including endocrine control of reproduction, anatomy and physiology of the male and female reproductive tract, mammary anatomy and physiology, milk and egg production, breeding cycles, seasonality, reproductive management and application of reproductive technologies in the effort to increase animal productivity and ensure food security.	AANS407	cafs_curriculum_2024.org
CAFS	CAFS	AANS	409	Animal Products and Technology	3	This course focuses on Livestock and carcass evaluation, meat and dairy products processing, egg products, aquaculture products, animal and fish by-products, and value-added product technologies.	AANS409	cafs_curriculum_2024.org
CAFS	CAFS	AANS	410	Animal Health and Disease Control	3	The objective of this course is to provide basic health concepts and disease processes. This course focuses on external and internal parasites of livestock and fishes, as well as key diseases affecting livestock production and aquaculture, public health and zoonotic diseases.	AANS410	cafs_curriculum_2024.org
COBA	COBA	ACCT	102	Introduction to Accounting	3	The course is designed for entry-level business student which introduces the student to bookkeeping and continues with the basic concepts of financial accounting including accounts receivable, account payable, tabular analysis and the preparation of basic financial statements for a sole proprietorship.	ACCT102	cba_curriculum_2025.org
COBA	COBA	ACCT	201	Principles of Accounting I	3	The course is a study of the principles of financial accounting as they relate to today's business environment. Both the procedures used and the concepts upon which they are based will be studied. It embodies, merchandise enterprises, system and controls, receivables, payables and inventory evaluation, deferrals, accruals, plant assets and intangible assets.	ACCT201	cba_curriculum_2025.org
COBA	COBA	ACCT	202	Principles of Accounting II	3	This course is in continuation of acct201. It embodies capital stock transaction, financial system analysis, partnership and corporation accounting, payroll system, concepts and principles are included.	ACCT202	cba_curriculum_2025.org
COBA	COBA	ACCT	301	Intermediate Accounting I	3	The course covers in greater depth the accounting concepts and principles introduced in acct201, acct202 and the theory, principles and problems; Financial Accounting and Accounting Standards, conceptual framework of Financial Reporting, statement of cash flows and income measurement, and the balance sheet are included.	ACCT301	cba_curriculum_2025.org
COBA	COBA	ACCT	302	Intermediate Accounting II	3	The course covers conceptual viewpoint of current assets, current liabilities, intangible assets, long-term liabilities, fixed assets acquisition, utilization and retirement, ratio and analysis of financial statements and the Time value of money concept .	ACCT302	cba_curriculum_2025.org
COBA	COBA	ACCT	303	Cost and Management Accounting I	3	This course studies the basic principles and procedures in the field of cost Management accounting. Areas covered include introduction to cost and Management accounting, with a focus on management accounting systems used for control and evaluation. manufacturing accounting, unit cost determination under job order and process costing system. Materials, labor and indirect manufacturing cost of multiple cost systems, Direct and indirect costing form an integral part of this course. The course explores responsibility accounting issues, managerial application of accounting data as well as quantitative methods in planting and control. Topics such as job order costing system, process costing, cost-volume profit analysis, performance evaluation and capital budgeting decisions are critically evaluated.	ACCT303	cba_curriculum_2025.org
COBA	COBA	ACCT	304	Cost and Management Accounting II	3	The course is about managerial application of accounting data and quantitative methods in planning and control for the core of this course. Topics such as cost behavior, cost-volume-profit analysis, profit performance evaluation, decision making, and cost and capital expenditure decision are critically evaluated. Cost accounting for standard costing and variance analysis is also discussed.	ACCT304	cba_curriculum_2025.org
