college_code	curriculum_college_code	curriculum	long_name	status	source_college	source_slug
CAFS	CAFS	CAFS-ANIMAL	Bachelor of Science in Agriculture -- Animal Science	pending	cafs	animal
CAFS	CAFS	CAFS-CROP	Bachelor of Science in Agriculture -- Crop Science	pending	cafs	crop
CAFS	CAFS	CAFS-SOIL	Bachelor of Science in Agriculture -- Soil Science	pending	cafs	soil
CAFS	CAFS	CAFS-MINOR-ANRM	Minor in Natural Resources Management	pending	cafs	minor-anrm
CAFS	CAFS	CAFS-MINOR-AGCA	Minor in Gender, Culture, and Agriculture	pending	cafs	minor-agca
CAFS	CAFS	CAFS-MINOR-AGEE	Minor in Agricultural Education and Extension	pending	cafs	minor-agee
CAFS	CAFS	CAFS-MINOR-AGEC	Minor in Agricultural Economics	pending	cafs	minor-agec
CAFS	CAFS	CAFS-MINOR-AGBU	Minor in Agribusiness	pending	cafs	minor-agbu
COAS	COAS	CAS-ENGL	Bachelor of Arts in English	pending	cas	engl
COAS	COAS	CAS-FREN	Bachelor of Arts in French	pending	cas	fren
COAS	COAS	CAS-SOCI	Bachelor of Arts in Sociology	pending	cas	soci
COAS	COAS	CAS-BIOL	Bachelor of Science in Biology -- Minor in Chemistry	pending	cas	biol
COAS	COAS	CAS-CHEM	Bachelor of Science in Chemistry	pending	cas	chem
COAS	COAS	CAS-CHEM-BIOL	Bachelor of Science in Chemistry -- Minor in Biology	pending	cas	chem-biol
COAS	COAS	CAS-CHEM-MATH	Bachelor of Science in Chemistry -- Minor in Mathematics	pending	cas	chem-math
COAS	COAS	CAS-MATH	Bachelor of Science in Mathematics	pending	cas	math
COAS	COAS	CAS-MATH-ENGL	Bachelor of Science in Mathematics -- Minor in Economics	pending	cas	math-engl
COAS	COAS	CAS-MATH-CHIM	Bachelor of Science in Mathematics -- Minor in Computer Science	pending	cas	math-chim
COAS	COAS	CAS-PHYS-PURE	Bachelor of Science in Physics -- Minor in Pure Physics	pending	cas	phys-pure
COAS	COAS	CAS-PHYS-COMP	Bachelor of Science in Physics -- Minor in Computer Science	pending	cas	phys-comp
COAS	COAS	CAS-PHYS-GEOP	Bachelor of Science in Physics -- Minor in Exploration Geophysics	pending	cas	phys-geop
COAS	COAS	CAS-PHYS-SPAC	Bachelor of Science in Physics -- Minor in Space Physics	pending	cas	phys-spac
COAS	COAS	CAS-FREN-CERT	French Certificate Program	pending	cas	fren-cert
COAS	COAS	CAS-HUMK	Associate Degree in Human Kinetics	pending	cas	humk
COAS	COAS	CAS-SADM	Higher National Diploma in Sport Administration and Management	pending	cas	sadm
COAS	COAS	CAS-SOCC	Diploma in Soccer Coach	pending	cas	socc
COBA	COBA	CBA-ACCT	Bachelor of Business Administration (BBA) -- Accounting	pending	cba	acct
COBA	COBA	CBA-BFIN	Bachelor of Business Administration -- Banking and Finance	pending	cba	bfin
COBA	COBA	CBA-BUSA	Bachelor of Business Administration (BBA)	pending	cba	busa
