college_code	curriculum_college_code	course_college_code	curriculum	course_dept	course_no	course_title	credit_hours	year_number	semester_number	level_number	required_group_number	min_validated_credits	is_required	source_course_key	source_program
COAS	COAS	COAS	CAS-HUMK	BIOL	101	General Biology I	4	1	1	1	0	0	true	BIOL101	Associate Degree in Human Kinetics
COAS	COAS	COAS	CAS-HUMK	CSEN	101	Computer Literacy I	3	1	1	1	0	0	true	CSEN101	Associate Degree in Human Kinetics
COAS	COAS	COAS	CAS-HUMK	ENGL	101	Freshman English I (Fundamental Grammar)	3	1	1	1	0	0	true	ENGL101	Associate Degree in Human Kinetics
COAS	COAS	COAS	CAS-HUMK	MATH	101	College Algebra	3	1	1	1	0	0	true	MATH101	Associate Degree in Human Kinetics
COAS	COAS	COAS	CAS-HUMK	PHED	111	History, Principles and Foundations of Physical Education	2	1	1	1	0	0	true	PHED111	Associate Degree in Human Kinetics
COAS	COAS	COAS	CAS-HUMK	PSYC	101	Introduction to Psychology	3	1	1	1	0	0	true	PSYC101	Associate Degree in Human Kinetics
COAS	COAS	COAS	CAS-HUMK	CHEM	101	Principles of Chemistry I	4	1	2	2	0	0	true	CHEM101	Associate Degree in Human Kinetics
COAS	COAS	COAS	CAS-HUMK	PHED	112	Health Education and Environmental Studies	3	1	2	2	0	0	true	PHED112	Associate Degree in Human Kinetics
COAS	COAS	COAS	CAS-HUMK	PHED	122	Sports Psychology and Sociology	3	1	2	2	0	0	true	PHED122	Associate Degree in Human Kinetics
COAS	COAS	COAS	CAS-HUMK	PHED	132	Anatomy and Physiology	3	1	2	2	0	0	true	PHED132	Associate Degree in Human Kinetics
COAS	COAS	COAS	CAS-HUMK	PHED	142	Kinesiology and Biomechanics	3	1	2	2	0	0	true	PHED142	Associate Degree in Human Kinetics
COAS	COAS	COAS	CAS-HUMK	PHED	152	Educational Technology and Methods of Teaching in Physical Education	2	1	2	2	0	0	true	PHED152	Associate Degree in Human Kinetics
