college_code	curriculum_college_code	course_college_code	curriculum	course_dept	course_no	required_course_college_code	required_course_dept	required_course_no	requirement_kind	requirement_label	requirement_order	member_order	source_file	source_course_key	raw_requisite
CAS	CAS	CAS	CAS-BIOL	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CAS	CAS	CAS	CAS-CHEM	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CAS	CAS	CAS	CAS-CHEM-BIOL	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CAS	CAS	CAS	CAS-CHEM-MATH	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CAS	CAS	CAS	CAS-MATH	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CAS	CAS	CAS	CAS-PHYS-COMP	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CAS	CAS	CAS	CAS-PHYS-GEOP	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CAS	CAS	CAS	CAS-PHYS-PURE	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CAS	CAS	CAS	CAS-PHYS-SPAC	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
EDRCE	EDRCE	CAS	EDRCE-ECED	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
EDRCE	EDRCE	CAS	EDRCE-PEDU	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
EDRCE	EDRCE	CAS	EDRCE-SEDU-GEOG	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
EDRCE	EDRCE	CAS	EDRCE-SEDU-PHYS	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CET	CET	CAS	CET-CIVI	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CET	CET	CAS	CET-CSEN	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CET	CET	CAS	CET-ELEC	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CET	CET	CAS	CET-MECH	PHYS	101	CAS	MATH	102	prereq_all	source prereq_all PHYS101	1	1	cas_curriculum_2025.org	PHYS101	math102
CAS	CAS	CAS	CAS-ENGL	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-FREN	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-SOCI	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-BIOL	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-CHEM	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-CHEM-BIOL	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-CHEM-MATH	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-MATH	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-MATH-ENGL	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-PHYS-COMP	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-PHYS-GEOP	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-PHYS-PURE	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-PHYS-SPAC	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CBA	CBA	CAS	CBA-BUSA	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CBA	CBA	CAS	CBA-ACCT	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CBA	CBA	CAS	CBA-BFIN	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CBA	CBA	CAS	CBA-PADM	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CBA	CBA	CAS	CBA-ECON	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
EDRCE	EDRCE	CAS	EDRCE-ECED	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
EDRCE	EDRCE	CAS	EDRCE-GCED	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
EDRCE	EDRCE	CAS	EDRCE-PEDU	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
EDRCE	EDRCE	CAS	EDRCE-SEDU-BIOL	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
EDRCE	EDRCE	CAS	EDRCE-SEDU-CHEM	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
EDRCE	EDRCE	CAS	EDRCE-SEDU-EDEN	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
EDRCE	EDRCE	CAS	EDRCE-SEDU-GEOG	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
EDRCE	EDRCE	CAS	EDRCE-SEDU-HIST	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
EDRCE	EDRCE	CAS	EDRCE-SEDU-MATH	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
EDRCE	EDRCE	CAS	EDRCE-SEDU-PHYS	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CET	CET	CAS	CET-CIVI	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CET	CET	CAS	CET-CSEN	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CET	CET	CAS	CET-ELEC	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CET	CET	CAS	CET-MECH	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CHS	CHS	CAS	CHS-MIDW	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CHS	CHS	CAS	CHS-NURS	ENGL	102	CAS	ENGL	101	prereq_all	source prereq_all ENGL102	1	1	cas_curriculum_2025.org	ENGL102	engl101
CAS	CAS	CAS	CAS-ENGL	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CAS	CAS	CAS	CAS-FREN	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CAS	CAS	CAS	CAS-SOCI	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CAS	CAS	CAS	CAS-MATH	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CAS	CAS	CAS	CAS-MATH-ENGL	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CAS	CAS	CAS	CAS-PHYS-COMP	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CAS	CAS	CAS	CAS-PHYS-GEOP	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CAS	CAS	CAS	CAS-PHYS-PURE	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CAS	CAS	CAS	CAS-PHYS-SPAC	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
EDRCE	EDRCE	CAS	EDRCE-SEDU-MATH	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CET	CET	CAS	CET-CIVI	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CET	CET	CAS	CET-CSEN	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CET	CET	CAS	CET-ELEC	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CET	CET	CAS	CET-MECH	MATH	102	CAS	MATH	101	prereq_all	source prereq_all MATH102	1	1	cas_curriculum_2025.org	MATH102	math101
CAS	CAS	CAS	CAS-ENGL	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CAS	CAS	CAS	CAS-FREN	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CAS	CAS	CAS	CAS-CHEM-BIOL	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CAS	CAS	CAS	CAS-CHEM-MATH	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CBA	CBA	CAS	CBA-BUSA	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CBA	CBA	CAS	CBA-ACCT	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CBA	CBA	CAS	CBA-BFIN	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CBA	CBA	CAS	CBA-PADM	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CBA	CBA	CAS	CBA-ECON	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CET	CET	CAS	CET-CIVI	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CET	CET	CAS	CET-CSEN	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CET	CET	CAS	CET-ELEC	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CET	CET	CAS	CET-MECH	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CHS	CHS	CAS	CHS-MIDW	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CHS	CHS	CAS	CHS-NURS	PHED	102	CAS	PHED	101	prereq_all	source prereq_all PHED102	1	1	cas_curriculum_2025.org	PHED102	phed101
CAS	CAS	CAS	CAS-ENGL	ENGL	201	CAS	ENGL	102	prereq_all	source prereq_all ENGL201	1	1	cas_curriculum_2025.org	ENGL201	engl102
CAS	CAS	CAS	CAS-FREN	ENGL	201	CAS	ENGL	102	prereq_all	source prereq_all ENGL201	1	1	cas_curriculum_2025.org	ENGL201	engl102
CAS	CAS	CAS	CAS-BIOL	ENGL	201	CAS	ENGL	102	prereq_all	source prereq_all ENGL201	1	1	cas_curriculum_2025.org	ENGL201	engl102
CAS	CAS	CAS	CAS-CHEM	ENGL	201	CAS	ENGL	102	prereq_all	source prereq_all ENGL201	1	1	cas_curriculum_2025.org	ENGL201	engl102
CAS	CAS	CAS	CAS-CHEM-BIOL	ENGL	201	CAS	ENGL	102	prereq_all	source prereq_all ENGL201	1	1	cas_curriculum_2025.org	ENGL201	engl102
CAS	CAS	CAS	CAS-CHEM-MATH	ENGL	201	CAS	ENGL	102	prereq_all	source prereq_all ENGL201	1	1	cas_curriculum_2025.org	ENGL201	engl102
CAS	CAS	CAS	CAS-MATH	ENGL	201	CAS	ENGL	102	prereq_all	source prereq_all ENGL201	1	1	cas_curriculum_2025.org	ENGL201	engl102
CAS	CAS	CAS	CAS-MATH-ENGL	ENGL	201	CAS	ENGL	102	prereq_all	source prereq_all ENGL201	1	1	cas_curriculum_2025.org	ENGL201	engl102
CAS	CAS	CAS	CAS-PHYS-COMP	ENGL	201	CAS	ENGL	102	prereq_all	source prereq_all ENGL201	1	1	cas_curriculum_2025.org	ENGL201	engl102
