course_key	titles	description_credit	table_credit	source_files
BIOL301	Comparative Chordate Anatomy | Nutrition	4	4	cas_curriculum_2025.org;ced_curriculum_2025.org
BIOL302	Animal Parasitology | Molecular Biology	4	4	cas_curriculum_2025.org;ced_curriculum_2025.org
BIOL304	Biochemistry I (for Specialistes) | Hematology	4	4	cas_curriculum_2025.org;ced_curriculum_2025.org
BIOL305	General Microbiology | Histology	4	4	cas_curriculum_2025.org;ced_curriculum_2025.org
BIOL402	Seminar in Biology | Vertebrate Embryology	4	4	cas_curriculum_2025.org;ced_curriculum_2025.org
CHEM301	Inorganic Chemistry I | Inorganic Chemistry I (Group Chemistry)	4	4	cas_curriculum_2025.org;ced_curriculum_2025.org
CHEM302	Inorganic Chemistry II | Inorganic Chemistry II (Transition Metal and Coordination Chemistry)	4	4	cas_curriculum_2025.org;ced_curriculum_2025.org
CHEM303	Analytical Chemistry | Spectroscopy and Structure	3	3	cas_curriculum_2025.org;ced_curriculum_2025.org
CHEM304	Electrochemistry | Introduction to Industrial Chemistry	4	4	cas_curriculum_2025.org;ced_curriculum_2025.org
CHEM401	Methods of Teaching Chemistry in Secondary Schools | Physical Chemistry I	4	4	cas_curriculum_2025.org;ced_curriculum_2025.org
CHEM402	Physical Chemistry II | Seminar in Chemistry	4	4	cas_curriculum_2025.org;ced_curriculum_2025.org
CHEM404	Analytical Chemistry II | Internship in Chemistry	4	4	cas_curriculum_2025.org;ced_curriculum_2025.org
CSEN306	System Analysis and Design | Systems analysis and design	3	3	cas_curriculum_2025.org;cet_curriculum_2024.org
CSEN401	Artificial Intelligence | Introduction to Artificial Intelligence	3	3	cas_curriculum_2025.org;cet_curriculum_2024.org
ECON407	Econometrics I and Time Series | Mathematical Economics	3	3	cba_curriculum_2025.org
EDUC303	Classroom Management	0	3	ced_curriculum_2025.org
EEDU302	Entrepreneurship Education II	3	0	cba_curriculum_2025.org
ENGL303	Survey of African Literature | WORLD LITERATURE	3	3	cas_curriculum_2025.org;ced_curriculum_2025.org
FREN102	Placeholder Entry for FREN 102	0	3	cas_curriculum_2025.org
MATH108	Calculus for non-science major	3	2	cas_curriculum_2025.org
MATH404	Internship in Mathematics | Vector Analysis	3	3	cas_curriculum_2025.org;ced_curriculum_2025.org
MENG303	Basic Practical Workshop I	1	2	cet_curriculum_2024.org
MENG306	Basic Practical Workshop II	1	2	cet_curriculum_2024.org
MENG407	Mechanical Lab /Workshop I	1	2	cet_curriculum_2024.org
MENG408	Mechanical Lab /Workshop II	1	2	cet_curriculum_2024.org
MIDW206	Pathophysiology of the Reproductive System	3	6	chs_curriculum_2024.org
NURC302	Medical-Surgical Nursing II (with Lab)	6	5	chs_curriculum_2024.org
NURC303	Psychiatric Mental Health Nursing	5	6	chs_curriculum_2024.org
PHED291	Team Sport	3	4	cas_curriculum_2025.org
PHIL102	Placeholder Entry for PHIL 102	0	3	cas_curriculum_2025.org
PUBH320	Biostatistics II | Environmental Microbiology	3		chs_curriculum_2024.org
SOSC102	Placeholder Entry for SOSC 102	0	3	cas_curriculum_2025.org
ZOOL201	General Zoology	3	4	cas_curriculum_2025.org;ced_curriculum_2025.org
