reason	code	title	credit	semester	year	program	college
missing curriculum or course	BIOL 101	General Biology I	4	1	1	COMMENT Others	cas
missing curriculum or course	COMP 101	Computer Literacy I	3	1	1	COMMENT Others	cas
missing curriculum or course	ENGL 101	Freshman English I (Fundamental Grammar)	3	1	1	COMMENT Others	cas
missing curriculum or course	ESOC 101	Elective Social Science (History / Philosophy / Psychology / Sociology)	3	1	1	COMMENT Others	cas
missing curriculum or course	FOCO 101	Team Building and mental conditioning of players; planning Pre-season Program	3	1	1	COMMENT Others	cas
missing curriculum or course	FOCO 121	Team preparation for a match and development of playing styles	3	1	1	COMMENT Others	cas
missing curriculum or course	FOCO 141	Match observation structure	3	1	1	COMMENT Others	cas
missing curriculum or course	MATH 101	College Algebra	3	1	1	COMMENT Others	cas
missing curriculum or course	PHED 101	Human Kinetics I	1	1	1	COMMENT Others	cas
missing curriculum or course	CHEM 101	Principles of Chemistry I	4	2	1	COMMENT Others	cas
missing curriculum or course	COMP 102	Computer Literacy II	3	2	1	COMMENT Others	cas
missing curriculum or course	ENGL 102	Freshman English II (Basic Composition)	3	2	1	COMMENT Others	cas
missing curriculum or course	ESOC 102	Elective Social Science (History / Philosophy / Psychology / Sociology)	3	2	1	COMMENT Others	cas
missing curriculum or course	FOCO 102	Management and coaching	3	2	1	COMMENT Others	cas
missing curriculum or course	FOCO 112	Teaching soccer skills and games	3	2	1	COMMENT Others	cas
missing curriculum or course	FOCO 122	Principles of play and coaching	3	2	1	COMMENT Others	cas
missing curriculum or course	FOCO 132	Sport nutrition and first aid	3	2	1	COMMENT Others	cas
missing curriculum or course	FOCO 142	Programming in sport	3	2	1	COMMENT Others	cas
missing curriculum or course	FOCO 152	Introduction to game systems and tactics	3	2	1	COMMENT Others	cas
missing curriculum or course	MATH 102	Plane Trigonometry	3	2	1	COMMENT Others	cas
missing curriculum or course	MATH 104	Precalculus	3	2	1	COMMENT Others	cas
missing curriculum or course	ELAN 201	Elective Language (French / Glebo / Chinese / Spanish)	3	1	2	COMMENT Others	cas
missing curriculum or course	ENGL 201	Grammar and Composition	3	1	2	COMMENT Others	cas
missing curriculum or course	ENVS 201	Introduction to Environmental Science	3	1	2	COMMENT Others	cas
missing curriculum or course	FOCO 201	Effective communication and organizing individual training and coaching sessions	3	1	2	COMMENT Others	cas
missing curriculum or course	FOCO 221	Coaching football (Intermediate Level)	3	1	2	COMMENT Others	cas
missing curriculum or course	MATH 201	Calculus I (Differential Calculus)	3	1	2	COMMENT Others	cas
missing curriculum or course	PHYS 101	Mechanics (with Lab)	4	1	2	COMMENT Others	cas
missing curriculum or course	SPDA 211	Organization and administration of sport and tournament	3	1	2	COMMENT Others	cas
missing curriculum or course	SPES 203	Legal and ethical Issues in sport	3	1	2	COMMENT Others	cas
missing curriculum or course	SPMT 201	Planning a competition and training program	3	1	2	COMMENT Others	cas
missing curriculum or course	FOCO 202	Coaching practicum -micro	3	2	2	COMMENT Others	cas
missing curriculum or course	FOCO 222	Current issues in sport	3	2	2	COMMENT Others	cas
missing curriculum or course	FOCO 232	The goalkeepers psychological approach to training and improve technique to game awareness	3	2	2	COMMENT Others	cas
missing curriculum or course	MATH 202	Calculus II (Integral Calculus)	3	2	2	COMMENT Others	cas
missing curriculum or course	MATH 204	Introduction to Linear Algebra	3	2	2	COMMENT Others	cas
missing curriculum or course	MATH 206	Analytic Geometry	3	2	2	COMMENT Others	cas
missing curriculum or course	MATH 208	Applied Statistics	3	2	2	COMMENT Others	cas
missing curriculum or course	PHYS 102	Matter and Heat (with Lab)	4	2	2	COMMENT Others	cas
missing curriculum or course	SPMT 300	Practicum (Internship)	4	2	2	COMMENT Others	cas
missing curriculum or course	SPOB 202	Organizational behavior for managers	3	2	2	COMMENT Others	cas
missing curriculum or course	COMP 301	Principles of Computing I	3	1	3	COMMENT Others	cas
missing curriculum or course	CSEN 204	Computer Engineering (MATLAB)	3	1	3	COMMENT Others	cas
missing curriculum or course	CSEN 404	Introduction to Python programming	3	1	3	COMMENT Others	cas
missing curriculum or course	EEDU 301	Entrepreneurship Education I	0	1	3	COMMENT Others	cas
missing curriculum or course	MATH 301	Multivariable Calculus	3	1	3	COMMENT Others	cas
missing curriculum or course	MATH 309	Numerical Analysis I	3	1	3	COMMENT Others	cas
missing curriculum or course	MATH 311	Junior Seminar I	2	1	3	COMMENT Others	cas
missing curriculum or course	COMP 302	Principles of Computing II	3	2	3	COMMENT Others	cas
missing curriculum or course	CSEN 306	System analysis and design	3	2	3	COMMENT Others	cas
missing curriculum or course	EEDU 302	Entrepreneurship Education II	0	2	3	COMMENT Others	cas
missing curriculum or course	MATH 302	Ordinary Differential Equations	3	2	3	COMMENT Others	cas
missing curriculum or course	MATH 302	Probability	3	2	3	COMMENT Others	cas
missing curriculum or course	MATH 310	Numerical Analysis II	3	2	3	COMMENT Others	cas
missing curriculum or course	MATH 312	Junior Seminar II	2	2	3	COMMENT Others	cas
missing curriculum or course	MATH 401	Abstract Algebra	3	1	4	COMMENT Others	cas
missing curriculum or course	MATH 403	Inferential Statistics	3	1	4	COMMENT Others	cas
missing curriculum or course	MATH 405	Introduction to Topology	3	1	4	COMMENT Others	cas
missing curriculum or course	MATH 407	Graph Theory	3	1	4	COMMENT Others	cas
missing curriculum or course	RESM 411	Research Methodology	3	1	4	COMMENT Others	cas
missing curriculum or course	CSEN 401	Introduction to Artificial intelligence	3	2	4	COMMENT Others	cas
missing curriculum or course	MATH 402	Number Theory	3	2	4	COMMENT Others	cas
missing curriculum or course	MATH 404	Vector Analysis	3	2	4	COMMENT Others	cas
missing curriculum or course	MATH 408	Complex Variables	3	2	4	COMMENT Others	cas
missing curriculum or course	RESM 412	Senior Thesis	3	2	4	COMMENT Others	cas
missing curriculum or course	BIOL 101 / PHYS 101 / CHEM 101	General Biology I / Mechanics (with Lab) / Principles of Chemistry I	4	1	1	General Courses	cas
missing curriculum or course	COMP 101	Computer Literacy I	3	1	1	General Courses	cas
missing curriculum or course	ENGL 101	Freshman English I (Fundamental Grammar)	3	1	1	General Courses	cas
missing curriculum or course	ESOC 101	Elective Social Science (History / Philosophy / Psychology / Sociology)	3	1	1	General Courses	cas
missing curriculum or course	MATH 101	College Algebra	3	1	1	General Courses	cas
missing curriculum or course	MATH 104	Precalculus	3	1	1	General Courses	cas
missing curriculum or course	PHED 101	Human Kinetics I	1	1	1	General Courses	cas
missing curriculum or course	BIOL 102 / PHYS 102 / CHEM 102	General Biology II (with Lab) / Matter and Heat (with Lab) / Principles of Chemistry II (with Lab)	4	2	1	General Courses	cas
missing curriculum or course	COMP 102	Computer Literacy II	3	2	1	General Courses	cas
missing curriculum or course	ENGL 102	Freshman English II (Basic Composition)	3	2	1	General Courses	cas
missing curriculum or course	ESOC 102	Elective Social Science (History / Philosophy / Psychology / Sociology)	3	2	1	General Courses	cas
missing curriculum or course	MATH 102	Plane Trigonometry	3	2	1	General Courses	cas
missing curriculum or course	EEDU 301	Entrepreneurship Education I	0	1	2	General Courses	cas
missing curriculum or course	ELAN 201	Elective Language (French / Glebo / Chinese / Spanish)	3	1	2	General Courses	cas
missing curriculum or course	ENGL 201	Grammar and Composition	3	1	2	General Courses	cas
missing curriculum or course	ENGL 203	Technical/Business Communication and Public Speaking	3	1	2	General Courses	cas
missing curriculum or course	ENVS 201	Introduction to Environmental Science	3	1	2	General Courses	cas
missing curriculum or course	EEDU 302	Entrepreneurship Education II	0	2	2	General Courses	cas
missing curriculum or course	MATH 208	Applied Statistics	3	2	2	General Courses	cas
missing curriculum or course	COMP 101	Computer Literacy I	3	1	1	General Edu	cba
missing curriculum or course	ENGL 101	Freshman English I (Fundamental Grammar)	3	1	1	General Edu	cba
missing curriculum or course	ESOC 101	Elective Social Science (History / Philosophy / Psychology / Sociology)	3	1	1	General Edu	cba
missing curriculum or course	MATH 104	Precalculus	3	1	1	General Edu	cba
missing curriculum or course	PHED 101	Human Kinetics I	1	1	1	General Edu	cba
missing curriculum or course	COMP 102	Computer Literacy II	3	2	1	General Edu	cba
missing curriculum or course	ENGL 102	Freshman English II (Basic Composition)	3	2	1	General Edu	cba
missing curriculum or course	MATH 108	Calculus for non-science major	2	2	1	General Edu	cba
missing curriculum or course	MATH 110	Math for Decision Making	3	2	1	General Edu	cba
missing curriculum or course	PHED 102	Human Kinetics II	1	2	1	General Edu	cba
missing curriculum or course	SSCL 102	Liberian Society Issues and Problems	3	2	1	General Edu	cba
missing curriculum or course	ELAN 201	Elective Language (French / Glebo / Chinese / Spanish)	3	1	2	General Edu	cba
missing curriculum or course	ENGL 201	Grammar and Composition	3	1	2	General Edu	cba
missing curriculum or course	ENVS 201	Introduction to Environmental Science	3	1	2	General Edu	cba
missing curriculum or course	ELAN 202	Elective Language (French / Glebo / Chinese / Spanish)	3	2	2	General Edu	cba
