source_file	target_course	field	raw_text	required_course_key	reason
cafs_curriculum_2024.org	AGRI 211	prereq_all	biol101	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 106	prereq_all	biol101	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 203	prereq_all	biol101	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 204	prereq_all	biol101, agri106	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 204	prereq_all	biol101, agri106	AGRI106	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 206	prereq_all	biol101, chem101	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 206	prereq_all	biol101, chem101	CHEM101	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 207	prereq_all	biol101, agri106, acrs104	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 207	prereq_all	biol101, agri106, acrs104	AGRI106	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 207	prereq_all	biol101, agri106, acrs104	ACRS104	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 210	prereq_all	biol101, agri106, acrs104	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 210	prereq_all	biol101, agri106, acrs104	AGRI106	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 210	prereq_all	biol101, agri106, acrs104	ACRS104	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 301	prereq_all	agri106, agri204	AGRI106	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 301	prereq_all	agri106, agri204	AGRI204	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 303	prereq_all	agri106, agri204	AGRI106	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 303	prereq_all	agri106, agri204	AGRI204	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 305	prereq_all	biol101, agri106	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 305	prereq_all	biol101, agri106	AGRI106	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 306	prereq_all	math101, math102	MATH101	target course not mapped to any curriculum
cafs_curriculum_2024.org	AGRI 306	prereq_all	math101, math102	MATH102	target course not mapped to any curriculum
