source_college	source_file	source_course_code	visible_course_code	normalized_course_key	source_dept_code	course_no	title	credit	prerequisites	corequisites	course_slug	is_todo	lab_marker
cafs	cafs_curriculum_2024.org	AANS 202	AANS 202	AANS202	AANS	202	Animal Nutrition and Growth	3	agri106		aans202	false	false
cafs	cafs_curriculum_2024.org	AANS 204	AANS 204	AANS204	AANS	204	Animal Anatomy and Physiology	3	agri203, agri106		aans204	false	false
cafs	cafs_curriculum_2024.org	AANS 206	AANS 206	AANS206	AANS	206	Animal Behavior and Welfare	3	agri203, agri106		aans206	false	false
cafs	cafs_curriculum_2024.org	AANS 302	AANS 302	AANS302	AANS	302	Animal Genetics and Breeding	3	aans204, aans206		aans302	false	false
cafs	cafs_curriculum_2024.org	AANS 303	AANS 303	AANS303	AANS	303	Swine and Poultry Production	3	agri203, aans204, aans202		aans303	false	false
cafs	cafs_curriculum_2024.org	AANS 304	AANS 304	AANS304	AANS	304	Ruminant Production	3	aans204, aans206		aans304	false	false
cafs	cafs_curriculum_2024.org	AANS 306	AANS 306	AANS306	AANS	306	Aquaculture and Fisheries	3	aans204, aans206		aans306	false	false
cafs	cafs_curriculum_2024.org	AANS 407	AANS 407	AANS407	AANS	407	Animal Reproduction and Lactation	3	aans202, aans204, aans206		aans407	false	false
cafs	cafs_curriculum_2024.org	AANS 409	AANS 409	AANS409	AANS	409	Animal Products and Technology	3	aans302, aans304, aans306		aans409	false	false
cafs	cafs_curriculum_2024.org	AANS 410	AANS 410	AANS410	AANS	410	Animal Health and Disease Control	3	aans302, aans304, aans306		aans410	false	false
cafs	cafs_curriculum_2024.org	ACRS 104	ACRS 104	ACRS104	ACRS	104	Botany (for Agronomistes)	3	biol101		acrs104	false	false
cafs	cafs_curriculum_2024.org	ACRS 202-TODO	ACRS 202	ACRS202	ACRS	202	Placeholder Entry for ACRS 202	0			acrs202	true	false
cafs	cafs_curriculum_2024.org	ACRS 204	ACRS 204	ACRS204	ACRS	204	Plant Physiology	3	biol101, agri106, acrs104		acrs204	false	false
cafs	cafs_curriculum_2024.org	ACRS 208	ACRS 208	ACRS208	ACRS	208	Tropical Food Crop	3	biol101, agri106, acrs104		acrs208	false	false
cafs	cafs_curriculum_2024.org	ACRS 301	ACRS 301	ACRS301	ACRS	301	Plant Entomology	3	agri106, asos201, envs201, acrs104		acrs301	false	false
cafs	cafs_curriculum_2024.org	ACRS 302	ACRS 302	ACRS302	ACRS	302	Basic Horticulture	3	asos201, acrs104, acrs204		acrs302	false	false
cafs	cafs_curriculum_2024.org	ACRS 304	ACRS 304	ACRS304	ACRS	304	Tropical Tree Crops	3	asos201, acrs104, acrs204		acrs304	false	false
cafs	cafs_curriculum_2024.org	ACRS 306	ACRS 306	ACRS306	ACRS	306	Plant Breeding and Genetics	3	asos201, acrs104, acrs204		acrs306	false	false
cafs	cafs_curriculum_2024.org	ACRS 401	ACRS 401	ACRS401	ACRS	401	Weed Science and Management	3	asos201, acrs104, acrs204		acrs401	false	false
cafs	cafs_curriculum_2024.org	ACRS 402	ACRS 402	ACRS402	ACRS	402	Plant Pathology	3	acrs204, acrs301		acrs402	false	false
cafs	cafs_curriculum_2024.org	ACRS 409	ACRS 409	ACRS409	ACRS	409	Farm Mechanization and Technology	3	asos204, asos305, agri307		acrs409	false	false
cafs	cafs_curriculum_2024.org	AGBU 300	AGBU 300	AGBU300	AGBU	300	Agricultural Production and Management	3			agbu300	false	false
cafs	cafs_curriculum_2024.org	AGBU 301	AGBU 301	AGBU301	AGBU	301	Value Chain Analysis in Agriculture	3			agbu301	false	false
cafs	cafs_curriculum_2024.org	AGBU 302	AGBU 302	AGBU302	AGBU	302	Agricultural Marketing and Finance	3			agbu302	false	false
cafs	cafs_curriculum_2024.org	AGBU 401	AGBU 401	AGBU401	AGBU	401	Agricultural Financial Management and Implication	3			agbu401	false	false
cafs	cafs_curriculum_2024.org	AGBU 402	AGBU 402	AGBU402	AGBU	402	Agricultural and Resource Enterprise Analysis	3			agbu402	false	false
cafs	cafs_curriculum_2024.org	AGBU 404	AGBU 404	AGBU404	AGBU	404	Personnel Management in Agriculture	3			agbu404	false	false
